YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1981,7.7,SAMOA,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO,-14.96,-173.085,0,-90
1981,5.9,PAKISTAN,PAKISTAN: GILGIT,35.693,73.594,90,90
1981,7.5,CHILE,"CHILE:  OFF CENTRAL COAST, LAS CRUCES",-33.134,-73.074,0,0
1981,5.4,COLOMBIA,VENEZUELA-N COLOMBIA,8.117,-72.527,90,0
1981,7.3,MEXICO,MEXICO:  MICHOACAN: LAZARO CARDENAS,18.048,-102.084,90,-90
1981,5.3,EGYPT,EGYPT:  ASWAN,23.686,32.604,90,90
1981,4,PAKISTAN,PAKISTAN:  CENTRAL,29.856,66.962,90,90
1981,7.5,GREECE,"GREECE:  AEGEAN SEA:  LESBOS, SKIROS",39.243,25.227,90,90
1982,7.1,PHILIPPINES,"PHILIPPINES:  VIRAC, CATANDUANES",13.752,124.358,90,180
1982,4.5,CANADA,"CANADA; MAINE:  CARIBOU, HAYNESVILLE, PRESQUE ISLE",46.975,-66.659,90,0
1982,6,HONDURAS,"HONDURAS:  AMPALA, MASAYA",13.158,-87.589,90,0
1982,6.3,INDIA,INDIA:  LITTLE NICOBAR ISLAND,6.946,94.002,90,180
1982,5.5,INDONESIA,"INDONESIA:  JAVA, SUKABUMI",-6.863,106.936,0,180
1982,5.4,INDONESIA,INDONESIA:  NORTHERN SUMATERA,4.374,97.755,90,180
1982,6.4,INDONESIA,INDONESIA:  SUMBAWA ISLAND REGION,-9.265,118.479,0,180
1982,6.7,JAPAN,"JAPAN:  HOKKAIDO, URAKAWA, HIROO",42.158,142.361,90,180
1982,3.5,MEXICO,MEXICO:  CHIAPAS,17.25,-93.21,90,-90
1982,6.1,PERU,"PERU:  COAST, LUNAHUANA, LIMA, HUANCAYO",-12.69,-76.065,0,0
1982,4.6,CHINA,CHINA:GANSU PROVINCE,36.785,105.55,90,180
1982,7,MEXICO,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",16.558,-98.358,90,-90
